Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,264,"1,444","1,382",227,332,"2,328","6,822",252,"5,488","2,044","1,197","1,816","1,755","4,472","2,355","1,703",733,"1,134","1,329"
Cartagena,184,-,547,"1,038",104,143,534,117,93,430,"2,729",801,248,"1,490",867,666,483,"1,090",135,165
Colombo,"1,293",522,-,"1,849",614,784,"5,496",862,660,648,"1,630","1,600",997,"2,723","3,529","3,464","2,957","1,528",314,"1,053"
Hamburg,639,913,"1,932",-,192,263,"2,919",441,197,569,"2,375","1,601",569,"2,731","2,261","2,224","1,027","2,450",269,603
Ho Chi Minh City,230,120,736,409,-,671,"1,124",169,539,551,354,319,248,629,"1,210","1,147","1,816",304,124,253
Jakarta,320,171,"1,033",525,443,-,"1,518",204,466,770,510,654,275,855,"1,584","1,521","1,467",384,174,304
Jebel Ali,"1,163",345,"5,412","2,005",529,733,-,787,517,"1,111","1,072","1,696",802,"3,104","2,123","2,156","2,450","2,521",247,876
Kaohsiung,"2,487",154,469,639,175,211,626,-,178,"3,532",721,452,873,719,"1,653",765,592,336,814,402
Laem Chabang,250,129,733,410,226,753,"1,197",174,-,623,372,450,246,583,"1,210","1,168","1,815",294,155,243
Los Angeles,"2,679",565,775,522,233,311,"1,034","1,201",226,-,"2,234",498,"2,072",821,"4,423","2,406",882,348,843,"1,200"
New Jersey,693,"3,539","1,618","2,443",154,191,"1,072",525,135,"2,042",-,"1,442",646,"2,924","2,332","1,952",741,"1,046",249,577
Piraeus,570,764,"1,582","1,018",178,215,"2,275",367,153,451,"1,431",-,503,"2,376","1,880","1,654",876,"2,203",199,490
Qingdao,"1,123",245,"1,007",850,200,305,"1,405","1,047",189,"5,034","1,257",894,-,"1,040","2,612",903,"1,186",588,437,45
Rotterdam,969,"1,412","2,933","1,679",301,435,"4,331",676,333,840,"3,720","1,591",908,-,"3,151","3,082","1,459","3,843",349,859
Shanghai,"2,713",706,"2,571","2,965",740,951,"3,191","1,862",746,"5,788","3,545","2,242","2,452","3,583",-,"2,235","3,641","1,579","1,672",979
Shenzhen,"3,264",624,"2,896","3,197",806,"1,093","4,557","2,139",844,"2,848","3,814","2,572",746,"4,312","1,762",-,"3,927","1,413",655,263
Singapore,"1,449",514,"2,878","1,673",905,"2,123","4,629",968,947,"2,723","1,530","1,431","1,310","2,454","4,853","4,841",-,"1,281",360,"1,405"
Tanger Med,496,954,"1,654","1,446",212,311,"2,438",305,218,352,"1,061","1,218",458,"1,998","1,672","1,522","1,043",-,203,430
Tianjin,870,182,770,754,135,204,"1,304",552,156,"1,949",918,609,968,"1,139","2,099",623,"1,067",414,-,42
Xiamen,"1,909",245,"1,279","1,324",227,287,"2,091","1,233",248,"1,531","1,619","1,015",428,"1,659","1,139","4,397","1,578",625,42,-
