trial,candidate_key,status,overall_mean,period_stddev,peak_period_att,high_period_count,elapsed_seconds,return_code,trial_dir,error,enable_custom_berth_priority,enable_schedule_aware_booking,enable_hub_transfer_consolidation,enable_initial_time_routing,enable_controlled_alternative_routes,enable_in_transit_replanning,suppress_kaohsiung_s2_detour
1,988e79de536ce2dca2c70a925c52f0c4a53f7c85,failed,,,,,5.0,1,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00001_988e79de53,Simulation exited with code 1.,1.0,1.0,1.0,0.0,0.0,0.0,0.0
2,6cac78132c0230ea6ce52ff8455c9688a29a623e,failed,,,,,5.0,1,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00002_6cac78132c,Simulation exited with code 1.,0.0,1.0,1.0,0.0,0.0,0.0,0.0
3,92375336b30773fb506fb48195809f273d50f6bf,failed,,,,,5.0,1,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00003_92375336b3,Simulation exited with code 1.,1.0,0.0,1.0,0.0,0.0,0.0,0.0
4,67ecc4db3c2409a8963c0c02af88f7f758ed8528,failed,,,,,5.0,1,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00004_67ecc4db3c,Simulation exited with code 1.,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5,365643ed8d6dd65daafca6d8cec467790e0a5745,failed,,,,,5.0,1,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00005_365643ed8d,Simulation exited with code 1.,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6,b0a5de4a5dcabec810c205225101c0431a6aae99,failed,,,,,5.0,1,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00006_b0a5de4a5d,Simulation exited with code 1.,1.0,1.0,1.0,0.0,1.0,0.0,0.0
7,619d8d630e52f59c922cb420bab7bdc820c03f7d,failed,,,,,5.0,1,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00007_619d8d630e,Simulation exited with code 1.,1.0,1.0,1.0,0.0,0.0,1.0,0.0
8,ed67543ed6320f70beaaa50567f7ffb7f95335c8,success,20.03,1.09,23.49,14,905.02,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00008_ed67543ed6,,1.0,1.0,1.0,0.0,0.0,0.0,1.0
9,c6307ebad86976fef4e4f05620ca1195b1501780,success,20.45,1.35,24.63,23,805.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00009_c6307ebad8,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,bfb3601c0bc2cd562d5b6a2ac6b99fa1b6eabd91,success,20.45,1.35,24.63,23,815.01,0,/home/alemanuel/Documents/6ºSemestre/WSC_2026_Simulation_Challenge/SimulationChallenge2026_Py_Round0/response_strategies/tuning_runs/binary_feature_search/trial_00010_bfb3601c0b,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
